name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Dr. Felix Brych,Germany,50,285,17,7,25,69
Björn Kuipers,Netherlands,52,221,6,5,22,59
Kim Milton Nielsen,Denmark,65,163,3,3,10,57
Szymon Marciniak,Poland,44,224,6,2,22,56
Clément Turpin,France,43,197,2,9,28,56
Daniele Orsato,Italy,49,244,6,2,12,55
Cüneyt Çakır,Türkiye,48,221,7,3,25,54
Damir Skomina,Slovenia,49,205,3,4,10,53
Danny Makkelie,Netherlands,42,198,6,3,16,53
Wolfgang Stark,Germany,55,193,4,6,12,51
Lubos Michel,Slovakia,57,203,7,8,13,50
Dr. Markus Merk,Germany,63,195,6,11,6,49
Terje Hauge,Norway,60,169,4,3,12,47
Frank De Bleeckere,Belgium,59,166,2,2,6,47
Anders Frisk,Sweden,62,151,3,8,4,45
Viktor Kassai,Hungary,50,168,7,0,15,44
Urs Meier,Switzerland,66,168,0,6,11,42
Slavko Vincic,Slovenia,45,167,1,2,5,42
Kyros Vassaras,Greece,59,189,3,3,10,41
Nicola Rizzoli,Italy,54,162,5,1,9,41
Mateu Lahoz,Spain,48,156,4,0,13,41
Michael Oliver,England,40,185,5,2,12,41
Mejuto González,Spain,60,125,2,0,10,40
Jonas Eriksson,Sweden,51,139,2,4,10,40
Anthony Taylor,England,46,178,4,1,12,40
Pierluigi Collina,Italy,65,124,5,1,10,39
Ovidiu Hațegan,Romania,45,159,4,3,10,39
Konrad Plautz,Austria,60,106,3,1,4,38
Undiano Mallenco,Spain,52,164,6,3,6,38
Gianluca Rocchi,Italy,52,144,10,1,14,38
Felix Zwayer,Germany,44,200,6,4,18,38
Willie Collum,Scotland,46,151,5,8,11,37
Massimo Busacca,Switzerland,56,113,2,1,6,36
Howard Webb,England,54,161,2,4,5,36
Alain Hamer,Luxembourg,59,137,7,1,5,34
Claus Bo Larsen,Denmark,59,82,0,0,6,34
Gilles Veissière,France,66,117,1,2,4,33
Herbert Fandel,Germany,61,125,7,2,3,33
Graham Poll,England,62,109,3,2,3,32
Istvan Kovacs,Romania,41,143,3,3,12,32
Olegário Benquerença,Portugal,55,131,6,5,6,31
Craig Thomson,Scotland,53,136,4,2,8,30
Martin Atkinson,England,54,136,2,0,7,30
Milorad Mazic,Serbia,52,120,2,1,6,30
